label,month,usd,gbp
16-Oct,10,66.911,81.507
16-Sep,9,66.556,86.366
16-Aug,8,66.973,87.989
16-Jul,7,66.655,88.158
16-Jun,6,67.504,89.854
16-May,5,67.209,97.305
16-Apr,4,66.425,97.07
16-Mar,3,66.255,95.152
16-Feb,2,68.208,94.918
16-Jan,1,67.878,96.709
15-Dec,12,66.208,97.585
15-Nov,11,66.462,100.069
15-Oct,10,65.423,100.941
15-Sep,9,65.517,99.12
15-Aug,8,66.412,101.896
15-Jul,7,63.988,99.975
15-Jun,6,63.604,99.918
15-May,5,63.743,97.466
15-Apr,4,63.529,97.524
15-Mar,3,62.291,92.303
15-Feb,2,61.659,95.168
15-Jan,1,62.02,93.455
14-Dec,12,63.035,98.177
14-Nov,11,62.21,97.349
14-Oct,10,61.405,98.233
